Name,Location,Dates,Description
Entierro de la Sardina,Murcia,07/04/2018,…Murcia. http://www.entierrodelasardina.es/. Este divertido festejo se incluye dentro del programa de actos de las Fiestas de Primavera de la ciudad de Murcia. El Entierro de la Sardina es un desfile popular que habitualm…
Fiesta del cerezo en flor,Jerte,Del 23/03/2018 al 07/04/2018,"…Jerte. Cáceres. (Extremadura) http://www.turismovalledeljerte.com/. El Valle del Jerte, en Extremadura, celebra cada año el florecimiento de sus cerezos con diversos actos. Ocurre solamente durante un par de semanas al a…"
Fiestas Patronales de San Vicente Ferrer,"Valld'Uixó,La",08/04/2018,"…Plaza San Vicente nº1. 12600. Vall d'Uixó, La. Castellón-Castelló. (Comunidad Valenciana) Fax.: 964 69 25 03 | E-mail: santvicentferrer@hotmail.es. Toros, vaquillas, castillos de fuegos artificiales, bailes y verbenas co…"
Burgo de Osma-Ciudad de Osma.,Osma,Del 20/01/2018 al 08/04/2018,"…Burgo de Osma, El. Burgo de Osma-Ciudad de Osma. Soria. (Castilla y León) E-mail: info@virreypalafox.com. http://www.jornadasdelamatanza.com/. El pueblo de Burgo de Osma, en Soria, celebra los fines de semana de febrero …"
Las Mondas,TalaveradelaReina,Del 07/04/2018 al 10/04/2018,…Talavera de la Reina. Toledo. (Castilla-La Mancha) E-mail: oficinaturismo@talavera.org. http://www.turismotalavera.com. Las raíces paganas de esta fiesta de Talavera de la Reina (Toledo) se remontan a la época romana en …
Misterio de la Pasión,Cervera,Del 18/03/2018 al 21/04/2018,…Cervera. Lleida. (Cataluña) E-mail: info@lapassiodecervera.com. http://www.lapassiodecervera.com/. Misterio de la Pasión (Lleida). Representación religiosa que refleja la pasión de Cristo a través de los ciudadanos de Ce…
Feria de Abril,Sevilla,Del 14/04/2018 al 21/04/2018,"…Sevilla. (Andalucía) E-mail: visitasevilla@sevilla.org. http://www.visitasevilla.es/. Durante una semana Sevilla vive sólo para esta fiesta. La música, la gastronomía, el baile y las ganas de divertirse crean un ambiente…"
Día de la Faldeta de Fraga,Fraga,22/04/2018,"…Fraga. Huesca. (Aragón) http://www.fraga.org/fraga-tematico/la-faldeta. El Día de la Faldeta de Fraga, en Huesca (Aragón), se celebra durante el mes de abril y pone en valor el traje típico de la ciudad. Estas fiestas ri…"
Cata del Vino Montilla–Moriles,Córdoba,Del 18/04/2018 al 22/04/2018,"…Plaza Colón s/n. 14001. Córdoba. (Andalucía) http://www.turismodecordoba.org. Más de 20 bodegas de los prestigiosos vinos de la Denominación de Origen Montilla – Moriles participan en esta cata en la ciudad de Córdoba, e…"
Fiesta de San Jorge,Cáceres,23/04/2018,"…Cáceres. (Extremadura) Cáceres, en Extremadura, celebra cada año la fiesta de su patrono, San Jorge, en la semana del 23 de abril. La fiesta simboliza la reconquista cristiana de la ciudad combinando hechos históricos, c…"
Fiestas Aracelitanas,Lucena,Del 22/04/2018 al 24/04/2018,…Lucena. Córdoba. (Andalucía) www.andalucia.org/es/eventos/fiestas-aracelitanas/. Una tradición de la localidad de Lucena (Córdoba) con cuatro siglos y medio de antigüedad. Esta celebración comienza cada penúltimo domingo…
Fiestas de Moros y Cristianos,Alcoy-Alcoi,Del 22/04/2018 al 24/04/2018,"…San Miguel, 60-62. 03801. Alcoy-Alcoi. Alicante-Alacant. (Comunidad Valenciana) Tel.: +34 965540580 | +34 965 54 10 55 | E-mail: info@associaciosantjordi.org. www.alcoyturismo.com. Historia, leyenda y espectáculo se dan …"
Fiesta de Moros y Cristianos en honor de San Jorge Mártir,BanyeresdeMariola,Del 22/04/2018 al 25/04/2018,"…Banyeres de Mariola. Alicante-Alacant. (Comunidad Valenciana) http://comunitatvalenciana.com/. Fiesta en honor de las reliquias de San Jorge Mártir. Las fiestas de Moros y Cristianos en honor de San Jorge Mártir, se cele…"
Día de la Almadía,Burgui-Burgi,28/04/2018,"…Burgui. Burgui-Burgi. Navarra. E-mail: info@almadiasdenavarra.com. http://www.almadiasdenavarra.com/. Una de las fiestas tradicionales más concurridas de Navarra es el Día de la Almadía, que se celebra cada año en Burgui…"
Romería de Nuestra Señora de la Cabeza,Andújar,29/04/2018,…Andújar. Andújar. Jaén. (Andalucía) Romería de Nuestra Señora de la Cabeza en Andújar. Romería en un paraje singular de Sierra Morena. El Santuario de la Virgen de la Cabeza se encuentra en la cumbre más alta de Sierra M…
Batalla de las flores,Córdoba,29/04/2018,"…Córdoba. (Andalucía) www.turismodecordoba.org. Córdoba, en Andalucía, acoge todos los años esta peculiar cabalgata en la que las flores son las protagonistas y da inicio a un mes lleno de fiestas en la ciudad. Esta fiest…"
Semana medieval de San Jorge,Montblanc,Del 20/04/2018 al 29/04/2018,…Montblanc. Tarragona. (Cataluña) E-mail: turisme@montblancmedieval.org. http://www.montblancmedieval.cat. Semana medieval de San Jorge de Montblanc. La leyenda de San Jorge. Montblanc celebra en el mes de abril la Semana…
Fiesta de la Lamprea,Arbo,Del 27/04/2018 al 29/04/2018,"…Arbo. Pontevedra. (Galicia) Arbo, en Pontevedra, celebra cada año una fiesta gastronómica en torno a uno de sus productos estrellas, la lamprea. Durante varios días tienen lugar degustaciones de platos a base de lamprea.…"
Recreación de Los Sitios de Zaragoza,Zaragoza,Del 27/04/2018 al 29/04/2018,"…Plaza de Los Sitios. 50001. Zaragoza. (Aragón) E-mail: secretario@asociacionlossitios.com. http://www.zaragoza.es/. Combates, desfiles y actos de homenaje ambientados en la época napoleónica. La Recreación de Los Sitios …"
Festa dos Maios Pontevedra,Pontevedra,01/05/2018,…Pontevedra. (Galicia) http://www.turgalicia.es/. La Festa dos Maios celebra en Galicia la llegada del buen tiempo. Se trata de una celebración de origen celta relacionada con las primeras flores de la primavera. Su feste…
Cruces de Mayo,Córdoba,Del 27/04/2018 al 01/05/2018,"…Córdoba. (Andalucía) www.turismodecordoba.org. La fiesta popular de las Cruces de Mayo, que se celebra en Córdoba, consiste en instalar en las calles y plazas de la ciudad cruces elaboradas con flores. Estas creaciones, …"
La Passió,Esparreguera,Del 04/03/2018 al 01/05/2018,"…Esparreguera. Barcelona. (Cataluña) http://www.lapassio.net/. La Passió de Esparreguera. Desde el siglo XVI se representa en Esparreguera el Gran Teatro de La Passió, reminiscencia de los antiguos ""autos"" medievales. Com…"
Cruces y Fuegos de Mayo,"Realejos,Los",Del 02/05/2018 al 03/05/2018,"…Realejos, Los. Tenerife. (Canarias) http://losrealejos.travel/fiestas/fiestas-destacadas/cruces-y-fuegos-de-mayo/. Las Fiestas de Mayo de Los Realejos combinan tradición popular con extraordinarias exhibiciones de fuegos…"
Fiestas de la Santísima Vera Cruz,CaravacadelaCruz,Del 01/05/2018 al 05/05/2018,"…Caravaca de la Cruz. Murcia. Conmemoran la aparición de la Santa Cruz en la antigua fortaleza del rey moro Abu-Zayt, en el siglo XIII. Esta fiesta se celebra desde la Edad Media y es una mezcla de cultura, historia y ley…"
Fiestas Mayores de Almansa,Almansa,Del 01/05/2018 al 06/05/2018,"…Almansa. Albacete. (Castilla-La Mancha) http://www.turismocastillalamancha.es/fiestas/fiestas-mayores-de-almansa-6477/descripcion/. Las fiestas de Almansa, en la región de Castilla – La Mancha, destacan por sus vistosos …"
Fiestas de la Ascensión,SantiagodeCompostela,10/05/2018,"…Santiago de Compostela. Coruña, A. (Galicia) http://www.santiagoturismo.com/. Es una de las fiestas más entrañables de Santiago de Compostela , en Galicia . Durante dos semanas tienen lugar numerosos eventos culturales y…"
Feria del Caballo,JerezdelaFrontera,Del 05/05/2018 al 12/05/2018,"…Jerez de la Frontera. Cádiz. (Andalucía) http://www.jerez.es/especiales/feria/. Todos los actos y celebraciones de esta fiesta giran en torno al mundo del caballo. La Feria del Caballo de Jerez es alegría, diversión y an…"
Festival de los patios cordobeses,Córdoba,Del 01/05/2018 al 13/05/2018,"…Córdoba. (Andalucía) El Festival de Patios te descubrirá una Córdoba de fiesta que vive el día en la calle a ritmo de flamenco y respirando el aroma a jazmín y azahar. Durante los días del Festival, los cordobeses abren …"
Fiesta medieval en Ibiza,Eivissa,Del 10/05/2018 al 13/05/2018,"…Passeig Vara de Rey, 1. 07800. Eivissa. Ibiza. (Baleares) Fax.: +34 971 301 740 | E-mail: info@ibiza.travel. http://www.ibiza.travel/en/articulo.php?fid=2442. Durante la segunda semana del mes de mayo se celebra en Ibiza…"
Concurso popular de Rejas y Balcones,Córdoba,Del 02/05/2018 al 14/05/2018,"…Córdoba. (Andalucía) www.turismodecordoba.org. Muchas viviendas del centro de la ciudad de Córdoba, en Andalucía, engalanan sus balcones y rejas para participar en este concurso que decide cada año cuál es el más bonito.…"
Feria de San Isidro,Madrid,Del 11/05/2018 al 15/05/2018,"…Madrid. http://www.esmadrid.com/. Madrid vive, en el mes de mayo, las fiestas de San Isidro, patrón de la ciudad. Las corridas de toros ocupan un lugar destacado en estos festejos, con un cartel taurino muy completo y un…"
La Caballada,Atienza,20/05/2018,…Atienza. Guadalajara. (Castilla-La Mancha) E-mail: ofi.turismo@cuenca.es. http://www.turismocastillalamancha.es/. Fiesta popular típica por sus trajes que rememoran la historia del pueblo. Conmemora la galopada de los ar…
"Girona, temps de flors (tiempo de flores)",Girona,Del 12/05/2018 al 20/05/2018,"…Rambla de la Llibertat, 1. 17004. Girona. (Cataluña) E-mail: turisme@ajgirona.cat. http://www.gironatempsdeflors.net. La muestra Girona, temps de flors, que se celebra todos los años, tiene lugar en el Barri Vell de Giro…"
Fiestas de San Juan del Monte,MirandadeEbro,21/05/2018,…Miranda de Ebro. Burgos. (Castilla y León) http://www.mirandadeebro.es/. Es una de las romerías más antiguas del norte español. Se trata de una festividad cuyo origen se remonta a la Edad Media. Sus numerosos actos culmi…
Romería del Rocío,Almonte,Del 20/05/2018 al 21/05/2018,…Almonte. Huelva. (Andalucía) http://www.andalucia.org/es/eventos/romeria-del-rocio/. Más de un millón de personas y casi un centenar de hermandades participan del fabuloso ambiente festivo con que se vive esta romería ha…
Feria de Córdoba,Córdoba,Del 19/05/2018 al 26/05/2018,"…Córdoba. (Andalucía) http://www.turismodecordoba.org. Córdoba celebra a finales de mayo la Feria de Nuestra Señora de la Salud. Con un marcado estilo andaluz, el recinto ferial acoge las casetas, que suelen estar abierta…"
Corpus Christi de Granada,Granada,26/05/2018,"…Granada. (Andalucía) http://www.granadatur.com/corpus. Granada celebra en los meses de mayo o junio la fiesta del Corpus Christi, cuyo origen está en los esfuerzos por cristianizar a la población después de siglos de dom…"
L'Aplec del Caragol,Lleida,Del 25/05/2018 al 27/05/2018,"…Lleida. (Cataluña) E-mail: aplec@aplec.org. http://www.aplec.org/. L’Aplec del Caragol (El Encuentro del Caracol) es la fiesta gastronómica por excelencia de Lleida. Durante tres días, miles de leridanos, organizados en …"
Corpus Christi de Villa de Mazo,VilladeMazo,31/05/2018,"…Pueblo, El. Villa de Mazo. Palma, La. (Canarias) E-mail: ayuntamiento@villademazo.es. http://www.villademazo.es/. Villa de Mazo, en la isla canaria de La Palma, se llena de colorido y de olor a flores durante la celebrac…"
Corpus Christi de Toledo,Toledo,31/05/2018,…Toledo. (Castilla-La Mancha) Fax.: +34 925255946 | E-mail: info@toledo-turismo.com. http://www.toledo-turismo.com. Las calles de Toledo se visten de gala para celebrar el Corpus Christi: una solemne procesión que transcu…
Procesión del Corpus,Béjar,31/05/2018,…Béjar. Salamanca. (Castilla y León) E-mail: turismo@ayobejar.com. www.aytobejar.com. La localidad de Béjar (Salamanca) celebra de un modo particular el Corpus Christi acompañándola de la “Procesión de los Hombres de Musg…
Alfombras de Serrín del Corpus de Elche de la Sierra,ElchedelaSierra,02/06/2018,"…Elche de la Sierra. Albacete. (Castilla-La Mancha) E-mail: alfombrasdeserrin@gmail.com. www.alfombrasdeserrin.com. En 1964, 10 vecinos de Elche de la Sierra (Albacete) realizaron por sorpresa una alfombra de virutas de c…"
Fiesta de La Patum de Berga,Berga,Del 30/05/2018 al 03/06/2018,"…Berga. Barcelona. (Cataluña) http://www.lapatum.cat/. La fiesta de La Patum de Berga, en Cataluña, ha sido proclamada Obra Maestra del Patrimonio Oral e Inmaterial de la Humanidad por la UNESCO. Esta fiesta acompaña al C…"
Corpus Christi de Sitges,Sitges,Del 02/06/2018 al 10/06/2018,"…Pl. Ajuntament, sn. Sitges. Barcelona. (Cataluña) E-mail: ajuntament@sitges.cat. http://www.sitges.cat/html/festivitat_de_corpus/. Las alfombras de flores engalanan las principales calles de este pueblo de Barcelona. Sit…"
